Year,Month,Day,Time of Tweet,text,sentiment,Platform
2018,8,18,morning,What a great day!!! Looks like dream.,positive, Twitter  
2018,8,18,noon,"I feel sorry, I miss you here in the sea beach",positive, Facebook 
2017,8,18,night,Don't angry me,negative,Facebook
2022,6,8,morning,We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative, Facebook 
2022,6,8,noon,"Those who want to go, let them go",negative, Instagram 
2016,11,22,night,"Its night 2 am, feeling neutral",neutral,Facebook
2017,12,28,morning,2 am feedings for the baby are fun when he is all smiles and coos,positive, Facebook 
2017,12,28,noon,Soooo high,neutral, Instagram 
2019,10,28,night, Both of you,neutral, Twitter  
2018,5,28,morning,Today first time I arrive in the boat. Its amazing journey,positive, Facebook 
2021,11,7,noon,Love is something like E=MC^2 rules,neutral, Instagram 
2016,4,10,night,I really really like the song Cardigan by Taylor Swift,positive, Twitter  
2016,5,15,morning,My Sharpie is running DANGERously low on ink,negative, Facebook 
2016,11,15,noon,i want to go to music tonight but i lost my voice.,negative, Instagram 
2016,11,15,night,Always somewhere I miss you where I have been,neutral, Twitter  
2017,11,5,morning,Don't distrube me,negative, Facebook 
2022,2,28,noon,"I don't care, who are you and what can you do",negative, Instagram 
2023,1,28,night,i`ve been sick for the past few days ,neutral, Twitter  
2020,3,5,morning,"I'm come back home, my past job, its really good time for me",positive, Facebook 
2019,11,30,noon,I will never fall in love until I found you,positive, Instagram 
2019,3,2,night," oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral, Twitter  
2019,11,30,morning,"Playing with kids, its amazing",positive, Facebook 
2019,3,2,noon,is cleaning the house for her family who is comming later today..,neutral, Instagram 
2019,8,28,night,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative, Twitter  
2016,7,1,morning,"Follow me, I will follow you too",neutral, Facebook 
2023,1,15,noon,"Its amazing game, I playing everyday",positive, Instagram 
2023,2,10,night,  I`m sorry.,negative, Facebook 
2019,11,18,morning,"I'm in the village now and there hardly found internate, feeling gloomy",negative, Instagram 
2018,9,5,noon,juss came back from Barisal,neutral, Twitter  
2020,4,2,night,Went to sleep and there is a power cut in the village. ,neutral, Facebook 
2019,10,18,morning,How looks like our company new logo?,positive, Instagram 
2023,1,18,noon,"I buy Sophie's world book, I'm really so happy",positive, Twitter  
2023,1,30,night, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative, Facebook 
2019,4,15,morning, That`s very funny.  Cute kids.,positive, Instagram 
2017,8,25,noon," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral, Twitter  
2022,4,5,night,My semester final exam is complete. Hurray!!!,positive, Facebook 
2022,1,5,morning,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative, Instagram 
2019,3,8,noon,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral, Twitter  
2019,2,25,night,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative, Facebook 
2018,11,5,morning, romance zero is funny,positive, Facebook 
2019,9,14,noon," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral, Twitter  
2018,11,5,morning,Yor are so unromantic,negative, Facebook 
2020,8,29,morning,MAYDAY?!,neutral, Instagram 
2014,6,3,noon, I`d rather do the early run..but I am a morning runner,neutral, Twitter  
2020,8,29,night, I love to! But I`m only available from 5pm.  and where dear?,positive, Facebook 
2023,4,8,morning,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral, Instagram 
2020,4,2,morning, i talk to you,neutral, Facebook 
2019,8,5,noon,"im soo bored, I don't like this music video",negative, Twitter  
2023,5,20,night,this concert is amazing,positive, Instagram 
2023,8,21,morning,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral, Facebook 
2023,9,11,noon,"Its raining, I need an umbrella ",neutral, Twitter  
2023,9,3,night,should be sleeping.  lost my voice a couple day ago.,negative, Instagram 
2023,9,3,morning,"I'm depressed, I'm thinking about suicide, what I need to do now?",negative, Facebook 
2019,8,30,noon, I`ve heard this fall. I`m waiting too!,neutral, Twitter  
2023,9,9,night,I saw an amazing nightmare yesterday night,neutral, Instagram 
2023,9,26,morning,I AM SUCH A CREEPER  I feel disappointed because of it.,negative, Facebook 
2020,11,29,noon,"I have bad headech, what I need to do now",negative, Twitter  
2023,9,2,night,happy mother`s day to all moms out there. Mothers are our real hero,positive, Instagram 
2023,9,14,morning,Grabbing coffee from  then making mom breakfast,neutral, Facebook 

